time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
2.987,3.43483,-3.22899,2.5159,3.4122,-3.21436,2.54084,3.40861,-3.21186,2.54084,3.41218,-3.21434,2.54084,0.0269468,0.024944,0.0313131,0.024944,0.0269698,0.024944
2.995,3.43434,-3.22863,2.5164,3.41204,-3.21425,2.54084,3.40844,-3.21175,2.54084,3.41202,-3.21423,2.54084,0.0265378,0.024444,0.0309126,0.024444,0.0265609,0.024444
3.007,3.43368,-3.22638,2.5227,3.40918,-3.21229,2.54084,3.40546,-3.20971,2.54084,3.40916,-3.21228,2.54084,0.0282635,0.018144,0.0327812,0.018144,0.0282871,0.018144
3.068,3.43332,-3.22587,2.5232,3.40749,-3.21113,2.54084,3.40369,-3.20849,2.54084,3.40747,-3.21112,2.54084,0.0297355,0.017644,0.0343458,0.017644,0.0297595,0.017644
3.088,3.42867,-3.22365,2.5198,3.40628,-3.2103,2.54084,3.40242,-3.20762,2.54084,3.40626,-3.21029,2.54084,0.0260715,0.021044,0.0307557,0.021044,0.0260957,0.021044
3.118,3.4276,-3.2233,2.5192,3.404,-3.20874,2.54084,3.40004,-3.20599,2.54084,3.40398,-3.20873,2.54084,0.027721,0.021644,0.0325362,0.021644,0.0277457,0.021644
3.197,3.42312,-3.22009,2.5181,3.40083,-3.20651,2.54051,3.39703,-3.20392,2.54083,3.40086,-3.2065,2.54017,0.0260969,0.0224109,0.0306921,0.0227321,0.0260752,0.0220679
3.214,3.42272,-3.21962,2.5185,3.40045,-3.20626,2.54051,3.39664,-3.20366,2.54083,3.40048,-3.20624,2.54017,0.0259717,0.0220109,0.0305775,0.0223321,0.0259589,0.0216679
3.23,3.42003,-3.21754,2.521,3.39765,-3.20434,2.54051,3.39377,-3.20169,2.54083,3.39762,-3.20428,2.54017,0.0259812,0.0195109,0.0306754,0.0198321,0.026036,0.0191679
3.291,3.41642,-3.21573,2.5183,3.3933,-3.20135,2.54051,3.38929,-3.19862,2.54083,3.39318,-3.20123,2.54017,0.0272326,0.0222109,0.0320773,0.0225321,0.0273939,0.0218679
3.354,3.41583,-3.21529,2.5179,3.39313,-3.20124,2.54051,3.38912,-3.19851,2.54083,3.39301,-3.20112,2.54017,0.0266909,0.0226109,0.0315411,0.0229321,0.026856,0.0222679
3.361,3.41363,-3.21294,2.5208,3.39083,-3.19966,2.54051,3.38675,-3.19688,2.54083,3.39066,-3.1995,2.54017,0.0263946,0.0197109,0.0313214,0.0200321,0.0266145,0.0193679
3.4,3.41334,-3.21252,2.5222,3.39072,-3.19958,2.54051,3.38664,-3.1968,2.54083,3.39055,-3.19943,2.54017,0.0260627,0.0183109,0.0309909,0.0186321,0.0262848,0.0179679
3.422,3.41077,-3.21098,2.5233,3.38777,-3.19756,2.54051,3.3836,-3.19472,2.54083,3.38754,-3.19736,2.54017,0.0266315,0.0172109,0.0316713,0.0175321,0.0269256,0.0168679
3.473,3.40608,-3.20932,2.518,3.38563,-3.19609,2.54051,3.38138,-3.1932,2.54083,3.38536,-3.19586,2.54017,0.0243597,0.0225109,0.0294899,0.0228321,0.0247082,0.0221679
3.513,3.40554,-3.20878,2.5188,3.38354,-3.19466,2.54051,3.37923,-3.19173,2.54083,3.38323,-3.1944,2.54017,0.0261421,0.0217109,0.0313521,0.0220321,0.0265413,0.0213679
3.544,3.40463,-3.20654,2.5233,3.38295,-3.19426,2.54051,3.37862,-3.19131,2.54083,3.38263,-3.19399,2.54017,0.0249155,0.0172109,0.0301354,0.0175321,0.0253258,0.0168679
3.564,3.40445,-3.20608,2.5243,3.38059,-3.19264,2.54051,3.37619,-3.18964,2.54083,3.38023,-3.19234,2.54017,0.0273796,0.0162109,0.03269,0.0165321,0.0278468,0.0158679
3.594,3.40246,-3.20465,2.5244,3.37984,-3.19213,2.54051,3.37542,-3.18911,2.54083,3.37946,-3.19182,2.54017,0.025847,0.0161109,0.0311842,0.0164321,0.0263318,0.0157679
3.615,3.4016,-3.2044,2.5227,3.37904,-3.19158,2.54051,3.37459,-3.18855,2.54083,3.37864,-3.19126,2.54017,0.0259464,0.0178109,0.0313196,0.0181321,0.0264516,0.0174679
3.625,3.39782,-3.20317,2.5179,3.37685,-3.19007,2.54051,3.37232,-3.18699,2.54083,3.37641,-3.18972,2.54017,0.0247294,0.0226109,0.0302006,0.0229321,0.0252909,0.0222679
3.675,3.39746,-3.20277,2.5183,3.37572,-3.1893,2.54051,3.37116,-3.1862,2.54083,3.37526,-3.18894,2.54017,0.0255707,0.0222109,0.0310868,0.0225321,0.0261593,0.0218679
