time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
4.075,3.37632,-3.18561,2.5262,3.3573,-3.17594,2.53564,3.34986,-3.17122,2.5396,3.35653,-3.17557,2.53676,0.0213338,0.00944312,0.0301238,0.013397,0.022192,0.0105581
4.08,3.37179,-3.18417,2.5217,3.35399,-3.17364,2.53564,3.34649,-3.16891,2.5396,3.35321,-3.17327,2.53676,0.0206864,0.0139431,0.0295545,0.017897,0.0215446,0.0150581
4.182,3.36862,-3.18186,2.522,3.35225,-3.17244,2.53564,3.34472,-3.16769,2.5396,3.35147,-3.17207,2.53676,0.0188835,0.0136431,0.027781,0.017597,0.019744,0.0147581
4.202,3.3685,-3.18143,2.5233,3.35095,-3.17154,2.53564,3.3434,-3.16678,2.5396,3.35017,-3.17117,2.53676,0.0201482,0.0123431,0.0290675,0.016297,0.0210103,0.0134581
4.232,3.3668,-3.17919,2.5274,3.34965,-3.17064,2.53564,3.34207,-3.16587,2.5396,3.34886,-3.17027,2.53676,0.0191642,0.00824312,0.0280858,0.012197,0.0200294,0.00935813
4.263,3.36601,-3.1788,2.5268,3.34732,-3.16902,2.53564,3.3397,-3.16424,2.5396,3.34653,-3.16865,2.53676,0.0210953,0.00884312,0.0300724,0.012797,0.0219622,0.00995813
4.313,3.36186,-3.17711,2.5232,3.34499,-3.16741,2.53564,3.33732,-3.16261,2.5396,3.3442,-3.16704,2.53676,0.0194687,0.0124431,0.0285074,0.016397,0.0203356,0.0135581
4.344,3.3599,-3.1757,2.5231,3.34428,-3.16692,2.53564,3.3366,-3.16211,2.5396,3.34349,-3.16655,2.53676,0.0179192,0.0125431,0.02697,0.016497,0.0187874,0.0136581
4.364,3.35956,-3.17531,2.5234,3.34309,-3.16609,2.53564,3.33539,-3.16128,2.5396,3.3423,-3.16573,2.53676,0.0188756,0.0122431,0.0279502,0.016197,0.0197449,0.0133581
4.374,3.3576,-3.17302,2.5272,3.3413,-3.16485,2.53564,3.33357,-3.16003,2.5396,3.34051,-3.16449,2.53676,0.0182257,0.00844312,0.0273178,0.012397,0.0190989,0.00955813
4.415,3.35702,-3.17259,2.5277,3.33892,-3.1632,2.53564,3.33114,-3.15836,2.5396,3.33812,-3.16284,2.53676,0.0203906,0.00794312,0.0295403,0.011897,0.0212656,0.00905813
4.455,3.35234,-3.17092,2.5214,3.33697,-3.16185,2.53564,3.32915,-3.15699,2.5396,3.33617,-3.16149,2.53676,0.0178415,0.0142431,0.0270517,0.018197,0.0187146,0.0153581
4.486,3.34983,-3.16893,2.5222,3.33378,-3.15964,2.53564,3.32589,-3.15475,2.5396,3.33298,-3.15928,2.53676,0.0185415,0.0134431,0.0278222,0.017397,0.0194182,0.0145581
4.577,3.34769,-3.16593,2.5265,3.33043,-3.15732,2.53564,3.32247,-3.1524,2.5396,3.32962,-3.15697,2.53676,0.0192789,0.00914312,0.0286193,0.013097,0.020163,0.0102581
