time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
273.908,2.8727,1.39368,-0.5759,2.74661,1.53539,5.6551,2.479,1.16863,5.81002,2.74811,1.52313,5.66523,0.189683,0.0521873,0.45348,0.102731,0.179662,0.0420577
273.986,2.87536,1.39159,-0.5994,2.75017,1.53277,5.6344,2.48297,1.16656,5.78932,2.75171,1.52053,5.64453,0.18869,0.0493832,0.452338,0.105535,0.178648,0.0392537
274.017,2.87712,1.39043,-0.6115,2.75118,1.532,5.62843,2.48411,1.16595,5.78335,2.75274,1.51977,5.63856,0.189473,0.0432533,0.452606,0.111665,0.179438,0.0331237
274.068,2.87939,1.38957,-0.631,2.75548,1.52657,5.60164,2.48701,1.16443,5.76866,2.75635,1.51527,5.60303,0.184726,0.0505452,0.452385,0.116473,0.175902,0.0491593
274.089,2.88009,1.38873,-0.6415,2.75765,1.52479,5.58851,2.48947,1.16302,5.75552,2.75853,1.51349,5.58989,0.183041,0.0531792,0.451141,0.113839,0.174189,0.0517933
274.119,2.88115,1.38782,-0.6543,2.76039,1.52249,5.57179,2.49258,1.16119,5.73881,2.76128,1.51118,5.57318,0.180882,0.0570952,0.449825,0.109923,0.172004,0.0557093
274.17,2.88369,1.38655,-0.6738,2.76334,1.51992,5.55348,2.49596,1.15912,5.7205,2.76425,1.5086,5.55487,0.179642,0.0559032,0.449513,0.111115,0.170772,0.0545173
274.201,2.88489,1.38539,-0.6842,2.76429,1.51907,5.54751,2.49705,1.15843,5.71453,2.76521,1.50775,5.5489,0.180031,0.0514733,0.449369,0.115545,0.171155,0.0500873
274.221,2.88593,1.3844,-0.698,2.76662,1.51695,5.53279,2.49972,1.15671,5.6998,2.76755,1.50562,5.53417,0.178332,0.0523993,0.448329,0.114619,0.169437,0.0510133
274.262,2.88711,1.38367,-0.7122,2.76922,1.5145,5.51607,2.50273,1.15471,5.68309,2.77016,1.50317,5.51746,0.176104,0.0549153,0.447408,0.112103,0.167199,0.0535293
274.302,2.88889,1.38206,-0.7279,2.77382,1.51104,5.5058,2.50622,1.15313,5.66387,2.77438,1.49997,5.51375,0.172851,0.0494874,0.445916,0.10858,0.164367,0.0415398
274.364,2.8904,1.38108,-0.7505,2.77677,1.50809,5.4863,2.50963,1.15066,5.64436,2.77737,1.49704,5.49424,0.170422,0.0463894,0.445056,0.111678,0.161934,0.0384418
274.414,2.89166,1.37974,-0.7651,2.77949,1.50528,5.46799,2.5128,1.14829,5.62606,2.78012,1.49423,5.47594,0.168348,0.0500974,0.443969,0.10797,0.159841,0.0421498
274.435,2.89384,1.37729,-0.7791,2.78199,1.50261,5.45087,2.51572,1.14602,5.60894,2.78266,1.49157,5.45882,0.167973,0.0532114,0.443237,0.104856,0.159447,0.0452638
274.486,2.89719,1.37529,-0.8037,2.78348,1.50097,5.44053,2.51746,1.14462,5.59859,2.78416,1.48994,5.44847,0.169491,0.0389594,0.444298,0.119108,0.161003,0.0310118
274.532,2.89785,1.37456,-0.817,2.78782,1.49787,5.44015,2.5199,1.14363,5.58452,2.78791,1.48714,5.45599,0.165263,0.026031,0.442915,0.118335,0.157357,0.0101937
